,tweet_created_at,tweet_full_text,text_clean
3145,Fri Sep 07 04:00:23 +0000 2018,"I'll leave this here for all the people who want to go run out and buy a pair of Nike's because of their recent ""woke washing"" with the #JustDoIt reboot. If there was truth in advertising, this is what you'd be sporting with every pair that carries the Nike #swoosh. @Kaepernick7 https://t.co/TvQ95bOGjH",ill leav thi here for all the peopl who want to go run out and buy a pair of nike becaus of their recent woke wash with the justdoit reboot if there wa truth in advertis thi is what youd be sport with everi pair that carri the nike swoosh user_ment url
459,Fri Sep 07 04:00:19 +0000 2018,"If God exists, he lives between the crease of a tender smile and in the warmth of a hug. #Christian #agnostic #beagoodhuman #amwriting #godislove #universalist #FeelTheBern #LoveWins #JustDoIt #Nike #patronus #hope #kaepernick #BlackLivesMatter",if god exist he live between the creas of a tender smile and in the warmth of a hug christian agnost beagoodhuman amwrit godislov universalist feelthebern lovewin justdoit nike patronu hope kaepernick blacklivesmatt
239,Fri Sep 07 04:00:02 +0000 2018,@Steve03343829 @valjswhit Hey #Trumpsters and #TrumpVoters this one is for you #JustDoIt 🤣🤣🤣🤣🤣,user_ment user_ment hey trumpster and trumpvot thi one is for you justdoit
1190,Fri Sep 07 03:59:50 +0000 2018,"""People respond well to those that are sure of what they want."" -- Anna Wintour, editor-in-Chief, American #Vogue #entrepreneurlife #JustDoIt #Determination #Entrepreneurship #Leadership https://t.co/yOO6hQFlku",peopl respond well to those that are sure of what they want anna wintour editorinchief american vogu entrepreneurlif justdoit determin entrepreneurship leadership url
4281,Fri Sep 07 03:59:35 +0000 2018,"If they think they can get away with doing something they will do it, if they think they can't get away with doing something they wont do it. To me that's a coward!!!!
#JustDoIt",if they think they can get away with do someth they will do it if they think they cant get away with do someth they wont do it to me that a coward justdoit
905,Fri Sep 07 03:58:34 +0000 2018,People will have a problem with me but block any human who has breathed in my vicinity on their social media/story views...if only you were interesting but like go ahead and be be petty with my friends if that makes you feel powerful 😂😂 #JustDoIt,peopl will have a problem with me but block ani human who ha breath in my vicin on their social view if onli you were interest but like go ahead and be be petti with my friend if that make you feel power justdoit
4551,Fri Sep 07 03:58:26 +0000 2018,LOVE THIS @Kaepernick7‼️#JustDoIt https://t.co/IpOPgtBPhV,love thi user_ment url
2843,Fri Sep 07 03:58:24 +0000 2018,"Believe in something, even if it means taking a knee. #justdoit #nike #takeaknee #tanyaharding #nancykerrigan #repost from my good friend @veilofveronica #muchrespect @ Brooklyn, New York https://t.co/4RKgJzJzwl",believ in someth even if it mean take a knee justdoit nike takeakne tanyahard nancykerrigan repost from my good friend user_ment muchrespect brooklyn new york url
3212,Fri Sep 07 03:58:18 +0000 2018,Yo @kaepernick7 x @nike we got y’all back 🙌🏽👏🏽✊🏽 #kaepernick #nike #justdoit #diidy #culture @Doitforthacult2 https://t.co/RVmiqShjhQ,yo user_ment x user_ment we got back kaepernick nike justdoit diidi cultur user_ment url
2588,Fri Sep 07 03:58:17 +0000 2018,I’m running out of reasons to drink because of this game. #JustDoIt #ATLsvPHI,run out of reason to drink becaus of thi game justdoit atlsvphi
2382,Fri Sep 07 03:58:16 +0000 2018,Nike right now when their new commercial aired as everyone’s watching the game #justdoit https://t.co/gSCCwH3JiX,nike right now when their new commerci air as watch the game justdoit url
611,Fri Sep 07 03:58:10 +0000 2018,"@Kaepernick7 @Itsafairday This is awesome!
#TakeAKnee #JustDoIt",user_ment user_ment thi is awesom takeakne justdoit
4075,Fri Sep 07 03:57:44 +0000 2018,"Anyone wanting to get rid of their  Nike apparel? 👋 
I need workout clothes, size L/XL depending on fit. Shoe size 8, kids are: 8 toddler shoe, 3T-4T;  12 toddler/little kid shoe, size 5-6 ; and size 3 shoe in big kid, size 10-12. Thanks 😉 
#Nike #justdoit",anyon want to get rid of their nike apparel i need workout cloth size depend on fit shoe size kid are toddler shoe kid shoe size and size shoe in big kid size thank nike justdoit
4274,Fri Sep 07 03:57:38 +0000 2018,"@SaraCarterDC @realDonaldTrump @nytimes I think it’s a deliberate distraction to ensure SCOTUS goes smoothly (under radar).  If he really wanted to find out, they have secret clearances and part of that agreement is submitting to a polygraph upon request. #JustDoIt",user_ment user_ment user_ment i think a deliber distract to ensur scotu goe smoothli under radar if he realli want to find out they have secret clearanc and part of that agreement is submit to a polygraph upon request justdoit
3682,Fri Sep 07 03:57:14 +0000 2018,"#Nike #colinkaepernick #proud #courage #justdoit #sports #inclusive #disability It’s crazy until you just do it @ New York, New York https://t.co/wRLD1mWRzp",nike colinkaepernick proud courag justdoit sport inclus disabl crazi until you just do it new york new york url
1358,Fri Sep 07 03:57:10 +0000 2018,I won the internet 😂🤣#justdoit https://t.co/5sqsIibk1Z,i won the internet justdoit url
3165,Fri Sep 07 03:56:58 +0000 2018,@Kaepernick7 Believe in something. Even if it means sacrificing everything. #JustDoIt  Fantastic.  I looove it.,user_ment believ in someth even if it mean sacrif everyth justdoit fantast i loov it
